date,sku_id,store_id,quantity_sold
2024-01-01,SKU_001,Store_A,45
2024-01-02,SKU_001,Store_A,51
2024-01-03,SKU_001,Store_A,51
2024-01-04,SKU_001,Store_A,57
2024-01-05,SKU_001,Store_A,46
2024-01-06,SKU_001,Store_A,51
2024-01-07,SKU_001,Store_A,42
2024-01-08,SKU_001,Store_A,50
2024-01-09,SKU_001,Store_A,55
2024-01-10,SKU_001,Store_A,49
2024-01-11,SKU_001,Store_A,55
2024-01-12,SKU_001,Store_A,55
2024-01-13,SKU_001,Store_A,56
2024-01-14,SKU_001,Store_A,54
2024-01-15,SKU_001,Store_A,55
2024-01-16,SKU_001,Store_A,57
2024-01-17,SKU_001,Store_A,59
2024-01-18,SKU_001,Store_A,55
2024-01-19,SKU_001,Store_A,60
2024-01-20,SKU_001,Store_A,59
2024-01-21,SKU_001,Store_A,66
2024-01-22,SKU_001,Store_A,60
2024-01-23,SKU_001,Store_A,58
2024-01-24,SKU_001,Store_A,71
2024-01-25,SKU_001,Store_A,51
2024-01-26,SKU_001,Store_A,67
2024-01-27,SKU_001,Store_A,66
2024-01-28,SKU_001,Store_A,56
2024-01-29,SKU_001,Store_A,67
2024-01-30,SKU_001,Store_A,64
2024-01-31,SKU_001,Store_A,60
2024-02-01,SKU_001,Store_A,56
2024-02-02,SKU_001,Store_A,65
2024-02-03,SKU_001,Store_A,58
2024-02-04,SKU_001,Store_A,55
2024-02-05,SKU_001,Store_A,60
2024-02-06,SKU_001,Store_A,59
2024-02-07,SKU_001,Store_A,61
2024-02-08,SKU_001,Store_A,60
2024-02-09,SKU_001,Store_A,66
2024-02-10,SKU_001,Store_A,63
2024-02-11,SKU_001,Store_A,59
2024-02-12,SKU_001,Store_A,55
2024-02-13,SKU_001,Store_A,65
2024-02-14,SKU_001,Store_A,62
2024-02-15,SKU_001,Store_A,71
2024-02-16,SKU_001,Store_A,58
2024-02-17,SKU_001,Store_A,65
2024-02-18,SKU_001,Store_A,58
2024-02-19,SKU_001,Store_A,56
2024-02-20,SKU_001,Store_A,47
2024-02-21,SKU_001,Store_A,57
2024-02-22,SKU_001,Store_A,49
2024-02-23,SKU_001,Store_A,50
2024-02-24,SKU_001,Store_A,52
2024-02-25,SKU_001,Store_A,50
2024-02-26,SKU_001,Store_A,42
2024-02-27,SKU_001,Store_A,46
2024-02-28,SKU_001,Store_A,53
2024-02-29,SKU_001,Store_A,51
2024-03-01,SKU_001,Store_A,51
2024-03-02,SKU_001,Store_A,47
2024-03-03,SKU_001,Store_A,49
2024-03-04,SKU_001,Store_A,46
2024-03-05,SKU_001,Store_A,43
2024-03-06,SKU_001,Store_A,49
2024-03-07,SKU_001,Store_A,42
2024-03-08,SKU_001,Store_A,38
2024-03-09,SKU_001,Store_A,47
2024-03-10,SKU_001,Store_A,47
2024-03-11,SKU_001,Store_A,32
2024-03-12,SKU_001,Store_A,43
2024-03-13,SKU_001,Store_A,29
2024-03-14,SKU_001,Store_A,44
2024-03-15,SKU_001,Store_A,33
2024-03-16,SKU_001,Store_A,41
2024-03-17,SKU_001,Store_A,34
2024-03-18,SKU_001,Store_A,38
2024-03-19,SKU_001,Store_A,29
2024-03-20,SKU_001,Store_A,34
2024-03-21,SKU_001,Store_A,35
2024-03-22,SKU_001,Store_A,39
