date,sku_id,store_id,inventory_level
2024-01-01,SKU_001,Store_A,77
2024-01-02,SKU_001,Store_A,180
2024-01-03,SKU_001,Store_A,124
2024-01-04,SKU_001,Store_A,127
2024-01-05,SKU_001,Store_A,139
2024-01-06,SKU_001,Store_A,70
2024-01-07,SKU_001,Store_A,103
2024-01-08,SKU_001,Store_A,152
2024-01-09,SKU_001,Store_A,108
2024-01-10,SKU_001,Store_A,121
2024-01-11,SKU_001,Store_A,69
2024-01-12,SKU_001,Store_A,161
2024-01-13,SKU_001,Store_A,108
2024-01-14,SKU_001,Store_A,120
2024-01-15,SKU_001,Store_A,186
2024-01-16,SKU_001,Store_A,158
2024-01-17,SKU_001,Store_A,178
2024-01-18,SKU_001,Store_A,105
2024-01-19,SKU_001,Store_A,84
2024-01-20,SKU_001,Store_A,172
2024-01-21,SKU_001,Store_A,180
2024-01-22,SKU_001,Store_A,153
2024-01-23,SKU_001,Store_A,56
2024-01-24,SKU_001,Store_A,76
2024-01-25,SKU_001,Store_A,50
2024-01-26,SKU_001,Store_A,136
2024-01-27,SKU_001,Store_A,90
2024-01-28,SKU_001,Store_A,172
2024-01-29,SKU_001,Store_A,124
2024-01-30,SKU_001,Store_A,91
2024-01-31,SKU_001,Store_A,166
2024-02-01,SKU_001,Store_A,112
2024-02-02,SKU_001,Store_A,176
2024-02-03,SKU_001,Store_A,182
2024-02-04,SKU_001,Store_A,97
2024-02-05,SKU_001,Store_A,52
2024-02-06,SKU_001,Store_A,165
2024-02-07,SKU_001,Store_A,148
2024-02-08,SKU_001,Store_A,165
2024-02-09,SKU_001,Store_A,63
2024-02-10,SKU_001,Store_A,161
2024-02-11,SKU_001,Store_A,110
2024-02-12,SKU_001,Store_A,144
2024-02-13,SKU_001,Store_A,66
2024-02-14,SKU_001,Store_A,173
2024-02-15,SKU_001,Store_A,73
2024-02-16,SKU_001,Store_A,165
2024-02-17,SKU_001,Store_A,131
2024-02-18,SKU_001,Store_A,99
2024-02-19,SKU_001,Store_A,128
2024-02-20,SKU_001,Store_A,128
2024-02-21,SKU_001,Store_A,119
2024-02-22,SKU_001,Store_A,76
2024-02-23,SKU_001,Store_A,64
2024-02-24,SKU_001,Store_A,99
2024-02-25,SKU_001,Store_A,85
2024-02-26,SKU_001,Store_A,57
2024-02-27,SKU_001,Store_A,128
2024-02-28,SKU_001,Store_A,180
2024-02-29,SKU_001,Store_A,96
2024-03-01,SKU_001,Store_A,154
2024-03-02,SKU_001,Store_A,147
2024-03-03,SKU_001,Store_A,145
2024-03-04,SKU_001,Store_A,165
2024-03-05,SKU_001,Store_A,62
2024-03-06,SKU_001,Store_A,50
2024-03-07,SKU_001,Store_A,83
2024-03-08,SKU_001,Store_A,128
2024-03-09,SKU_001,Store_A,127
2024-03-10,SKU_001,Store_A,170
2024-03-11,SKU_001,Store_A,142
2024-03-12,SKU_001,Store_A,147
2024-03-13,SKU_001,Store_A,131
2024-03-14,SKU_001,Store_A,87
2024-03-15,SKU_001,Store_A,63
2024-03-16,SKU_001,Store_A,185
2024-03-17,SKU_001,Store_A,140
2024-03-18,SKU_001,Store_A,103
2024-03-19,SKU_001,Store_A,179
2024-03-20,SKU_001,Store_A,150
2024-03-21,SKU_001,Store_A,138
2024-03-22,SKU_001,Store_A,105
2024-03-23,SKU_001,Store_A,143
2024-03-24,SKU_001,Store_A,142
2024-03-25,SKU_001,Store_A,133
2024-03-26,SKU_001,Store_A,134
2024-03-27,SKU_001,Store_A,71
2024-03-28,SKU_001,Store_A,84
2024-03-29,SKU_001,Store_A,65
2024-03-30,SKU_001,Store_A,99
2024-03-31,SKU_001,Store_A,171
2024-04-01,SKU_001,Store_A,177
2024-04-02,SKU_001,Store_A,162
2024-04-03,SKU_001,Store_A,66
2024-04-04,SKU_001,Store_A,129
2024-04-05,SKU_001,Store_A,179
2024-04-06,SKU_001,Store_A,181
2024-04-07,SKU_001,Store_A,134
2024-04-08,SKU_001,Store_A,143
2024-04-09,SKU_001,Store_A,183
2024-04-10,SKU_001,Store_A,130
2024-04-11,SKU_001,Store_A,118
2024-04-12,SKU_001,Store_A,118
2024-04-13,SKU_001,Store_A,197
2024-04-14,SKU_001,Store_A,65
2024-04-15,SKU_001,Store_A,100
2024-04-16,SKU_001,Store_A,154
